iter	Passed	Remaining
0	2	333
1	5	357
2	8	362
3	12	414
4	17	440
5	21	453
6	23	420
7	27	433
8	32	441
9	34	419
10	38	424
11	43	430
12	47	433
13	51	436
14	56	436
15	60	436
16	64	436
17	68	435
18	71	425
19	73	411
20	77	411
21	79	398
22	84	398
23	86	387
24	90	386
25	94	386
26	96	376
27	101	375
28	105	374
29	109	373
30	111	364
31	116	362
32	120	361
33	124	359
34	129	357
35	133	356
36	135	347
37	139	345
38	142	340
39	146	337
40	151	335
41	156	334
42	159	329
43	163	326
44	167	324
45	169	316
46	173	314
47	176	308
48	180	305
49	184	303
50	189	300
51	191	293
52	195	290
53	199	288
54	201	281
55	205	279
56	210	276
57	214	273
58	218	270
59	223	268
60	227	264
61	231	261
62	236	258
63	240	255
64	244	252
65	249	249
66	253	245
67	257	242
68	262	239
69	266	235
70	268	230
71	272	227
72	276	223
73	278	218
74	280	213
75	283	208
76	286	204
77	290	201
78	294	197
79	298	194
80	303	190
81	307	187
82	310	183
83	312	178
84	316	175
85	318	170
86	322	167
87	327	163
88	331	160
89	335	156
90	340	153
91	344	149
92	348	146
93	352	142
94	357	139
95	361	135
96	365	131
97	369	128
98	371	123
99	376	120
100	380	116
101	384	113
102	388	109
103	390	105
104	394	101
105	396	97
106	401	93
107	405	90
108	407	85
109	411	82
110	415	78
111	420	75
112	424	71
113	428	67
114	432	63
115	437	60
116	441	56
117	445	52
118	449	49
119	453	45
120	457	41
121	459	37
122	464	33
123	468	30
124	472	26
125	477	22
126	481	18
127	484	15
128	486	11
129	489	7
130	493	3
131	495	0
