iter	MultiClass
0	1.093964598
1	1.09125224
2	1.088083463
33	1.07875018244	1.07367947955	1.06815934266	1.06401382477	1.05982687588	1.0557341879	1.067912149
10	1.064614572
11	1.063230388
12	1.060188822
13	1.057376713
14	1.054426088
15	1.052582404
16	1.050454227
17	1.047735073
18	1.04566012
19	1.043292632
20	1.04051449
21	1.039233394
22	1.037109966
23	1.034891311
24	1.032301616
25	1.029422584
26	1.026576892
27	1.024732085
28	1.023280864
29	1.02078641
30	1.019096375
31	1.017165278
32	1.015840846
33	1.014620568
34	1.013573566
35	1.012582284
36	1.011582944
37	1.0096886
38	1.008244146
39	1.0071671
40	1.005460229
41	1.002950339
42	1.00145839
43	1.000330653
44	0.9989162914
45	0.9976422766
46	0.9964831276
47	0.9955665284
48	0.9933358212
49	0.9928898596
50	0.9915533321
51	0.9901315222
52	0.9893219618
53	0.9883698926
54	0.9874122427
55	0.9868236538
56	0.9860551847
57	0.9850340223
58	0.9845382267
59	0.9841160169
60	0.9834184581
61	0.9826361	0.9611649509
62	0.96014931
63	0.9590876646
64	0.9584914993
65	0.9569635659
66	0.9562489723
67	0.955364545
68	0.9541731498
69	0.9534637499
70	0.9524089262
71	0.9518490941
72	0.951667866
73	0.9504799402
74	0.9501966285
75	0.9492882643
76	0.9483236311
77	0.9473954216
78	0.9467544175
79	0.9463042319
80	0.9449033809
81	0.9437082579
82	0.9429786824
83	0.9426455328
84	0.9420597095
85	0.9413281353
86	0.9402966882
87	0.9400317133
88	0.9386921971
89	0.9373290741
90	0.9364621724
91	0.9358321231
92	0.9355790369
93	0.9346788499
94	0.9344058858
95	0.9340426183
96	0.9334580029
97	0.9329395929
98	0.9320207597
99	0.9306236168
100	0.9295085281
101	0.9285262002
102	0.927611525
103	0.9274439697
104	0.9269810779
105	0.9265117261
106	0.9258233115
107	0.9250616716
108	0.924599515
109	0.9237945406
110	0.9233436472
111	0.9225885545
112	0.9220284427
113	0.9211774667
114	0.9206159774
115	0.9199759055
116	0.9187667363
117	0.9180674717
118	0.9174208576
119	0.916389393
120	0.915624068
121	0.9152174229
122	0.9143824904
123	0.9132202802
124	0.9126477315
125	0.9121221012
126	0.9116824745
127	0.911130397
128	0.9106814832
129	0.9101937601
130	0.909292263
131	0.9086794853
132	0.908012356
133	0.907494994
134	0.9072016061
135	0.9063930789
136	0.9060091944
137	0.9055819489
138	0.9052068875
139	0.9043380487
140	0.9041928677
141	0.9036780159
142	0.9032052367
143	0.9028353597
144	0.9022378563
145	0.9016471348
146	0.9013107956
147	0.90062597
148	0.9003644123
149	0.8998794796
150	0.8992412706
151	0.8986601694
152	0.8982763041
153	0.8980767236
154	0.8978292831
155	0.8975663688
156	0.8971740502
157	0.8969158021
158	0.896732088
159	0.896492895
160	0.8961213445
161	0.8954982966
162	0.8948672186
163	0.8944236259
164	0.8941722558
165	0.8937372376
166	0.8936132917
167	0.8929519119
168	0.8926677653
169	0.8921546009
170	0.8915832837
171	0.891084684
172	0.8908623188
173	0.8907540744
174	0.89049173
175	0.8902345501
176	0.8897157933
