iter	Passed	Remaining
0	137	137067
1	138	69295
2	140	46647
3	140	35042
4	142	28337
5	144	23987
6	146	20725
7	147	18322
8	150	16538
9	153	15235
10	155	13938
11	159	13151
12	161	12224
13	162	11442
14	164	10772
15	165	10166
16	166	9655
17	168	9174
18	169	8771
19	170	8373
20	173	8099
21	174	7770
22	176	7509
23	179	7318
24	181	7072
25	183	6859
26	184	6635
27	186	6482
28	189	6357
29	190	6172
30	192	6009
31	194	5889
32	196	5748
33	197	5615
34	198	5485
35	201	5398
36	203	5284
37	205	5201
38	207	5125
39	211	5065
40	212	4966
41	213	4869
42	215	4802
43	217	4733
44	219	4649
45	220	4572
46	222	4515
47	224	4461
48	226	4397
49	227	4323
50	229	4266
51	232	4235
52	233	4170
53	235	4117
54	236	4063
55	239	4041
56	240	3983
57	242	3932
58	243	3884
59	244	3831
60	245	378461	251	3807
62	252	3761
63	254	3720
64	256	3687
65	257	3643
66	258	3600
67	260	3573
68	261	3533
69	263	3505
70	266	3481
71	268	3456
72	269	3418
73	270	3389
74	272	3366
75	275	3344
76	282	3385
77	283	3354
78	285	3328
79	286	3299
80	288	3275
81	290	3252
82	291	3226
83	293	3197
84	295	3178
85	296	3150
86	298	3131
87	300	3109
88	301	3090
89	302	3063
90	305	3051
91	306	3028
92	309	3022
93	312	3011
94	315	3003
95	316	2978
96	317	2959
97	320	2953
98	322	2938
99	324	2917
100	326	2902
101	327	2879
102	329	2872
103	331	2855
104	333	2841
105	335	2830
106	336	2812
107	339	2801
108	341	2791
109	342	2771
110	344	2756
111	346	2748
112	348	2733
113	349	2714
114	352	2713
115	353	2694
116	355	2684
117	356	2665
118	357	2647
119	359	2637
120	361	2628
121	362	2611
122	364	2602
123	366	2588
124	367	2574
125	369	2562
126	371	2551
127	373	2541
128	375	2536
129	376	2522
130	378	2511
131	379	2495
132	381	2489
133	384	2487
134	385	2472
135	388	2469
136	389	2456
137	392	2449
138	393	2436
139	394	2425
140	395	2412
141	398	2405
142	399	2393
143	400	2383
144	402	2372
145	403	2362
146	404	2348
147	406	2341
148	411	2349
149	412	2337
150	413	2327
151	414	2314
152	415	2302
153	418	2299
154	419	2286
155	421	2282
156	422	2269
157	423	2259
158	424	2247
159	425	2235
160	431	2248
161	433	2241
162	434	2232
163	435	2220
164	436	2209
165	438	2200
166	439	2191
167	440	2180
168	441	2169
169	442	2158
170	444	2152
171	445	2144
172	446	2133
173	447	2122
174	448	2114
175	450	2110
176	452	2103
177	453	2095
178	455	2087
179	455	2076
180	457	2071
181	459	2065
182	460	2057
183	462	2052
184	463	2043
185	465	2035
186	466	2026
187	467	2017
188	468	2008
189	469	2001
190	472	1999
191	473	1990
192	473	1981
193	475	1974
194	476	1966
195	477	1957
196	479	1952
197	480	1944
198	481	1937
199	482	1929
200	483	1923
201	486	1920
202	487	1912
203	488	1905
204	489	1898
205	490	1891
206	491	1883
207	492	1875
208	493	1869
209	494	1861
210	495	1854
211	496	1846
212	497	1838
213	498	1830
214	499	1822
215	500	1815
216	501	1808
217	502	1801
218	502	1793
219	504	1787
220	505	1781
221	506	1775
222	507	1767
223	508	1760
224	509	1753
225	509	1746
226	510	1738
227	511	1731
228	512	1724
229	513	1717
230	514	1711
231	515	1705
232	515	1698
233	516	1691
234	517	1684
235	518	1678
236	519	1672
237	521	1668
238	521	1661
239	522	1654
240	523	1648
241	524	1643
242	525	1637
243	526	1630
244	527	1624
245	528	1618
246	528	1612
247	529	1607
248	530	1600
249	531	1594
250	532	1589
251	533	1583
252	534	1577
253	535	1571
254	536	1566
255	536	1560
256	537	1554
257	538	1548
258	539	1542
259	540	1537
260	541	1532
261	542	1526
262	542	1521
263	543	1515
264	544	1510
265	545	1505
266	546	1499
267	547	1494
268	547	1489
269	548	1483
270	549	1478
271	550	1473
272	551	1468
273	552	1462
274	552	1457
275	553	1452
276	554	1447
277	555	1443
278	556	1438
279	557	1433
280	558	1428
281	558	1422
282	559	1418
283	560	1414
284	561	1409
285	562	1405
286	563	1400
287	564	1395
288	565	1391
289	566	1386
290	567	1382
291	568	1377
292	568	1372
293	569	1367
294	570	1363
295	571	1359
296	572	1355
297	573	1350
298	574	1346
299	575	1342
300	576	1338
301	577	1334
302	578	1329
303	579	1325
304	579	1321
305	580	1317
306	581	1313
307	582	1308
308	583	1304
309	584	1300
310	585	1296
311	585	1292
312	586	1287
313	587	1283
314	588	1279
315	589	1275
316	590	1271
317	590	1267
318	591	1263
319	592	1259
320	593	1255
321	594	1251
322	595	1247
323	596	1244
324	597	1240
325	598	1236
326	598	1232
327	599	1228
328	600	1224
329	601	1221
330	602	1217
331	602	1213
332	604	1209
333	604	1206
334	605	1202
335	606	1198
336	607	1195
337	608	1191
338	609	1188
339	610	1184
340	610	1180
341	611	1177
342	612	1173
343	613	1169
344	614	1166
345	614	1162
346	615	1158
347	616	1155
348	617	1152
349	618	1149
350	619	1145
351	620	1142
352	621	1138
353	622	1135
354	622	1131
355	623	1128
356	624	1125
357	625	1121
358	626	1118
359	627	1115
360	628	1112
361	629	1108
362	629	1105
363	630	1101
364	631	1098
365	633	1097
366	634	1094
367	635	1090
368	636	1087
369	636	1084
370	637	1081
371	638	1078
372	640	1076
373	641	1073
374	642	1070
375	643	1067
376	644	1065
377	645	1061
378	646	1058
379	647	1055
380	648	1053
381	649	1051
382	650	1047
383	651	1044
384	652	1041
385	653	1039
386	654	1036
387	655	1033
388	655	1030
389	656	1027
390	657	1024
391	658	1021
392	659	1018
393	660	1015
394	661	1012
395	661	1009
396	662	1006
397	663	1004
398	664	1001
399	665	998
400	666	995
401	667	992
402	667	989
403	668	986
404	669	983
405	670	980
406	671	978
407	672	975
408	673	972
409	674	970
410	675	968
411	676	966
412	677	963
413	679	961
414	680	959
415	681	956
416	682	953
417	683	951
418	684	949
419	685	947
420	686	944
421	687	941
422	688	939
423	690	937
424	691	935
425	692	932
426	693	930
427	695	929
428	696	927
429	697	924
430	698	922
431	699	920
432	700	917
433	701	915
434	702	912
435	703	910
436	704	907
437	706	906
438	707	904
439	708	901
440	709	899
441	710	897
442	711	894
443	712	892
444	713	889
445	714	887
446	715	885
447	716	883
448	717	880
449	718	878
450	719	876
451	721	874
452	722	871
453	722	869
454	723	866
455	724	864
456	725	861
457	726	859
458	727	857
459	728	854
460	728	852
461	729	849
462	730	847
463	731	845
464	732	843
465	733	840
466	734	838
467	736	836
468	736	834
469	737	832
470	738	829
471	739	827
472	740	825
473	741	822
474	742	820
475	743	818
476	744	816
477	745	813
478	746	811
479	747	809
480	748	807
481	749	805
482	749	802
483	750	800
484	751	798
485	752	795
486	753	793
487	754	791
488	755	789
489	756	786
490	757	784
491	758	782
492	758	780
493	759	778
494	760	776
495	761	773
496	762	771
497	763	769
498	764	767
499	765	765
500	766	763
501	768	762
502	769	759
503	769	757
504	770	755
505	771	753
506	772	751
507	773	749
508	774	747
509	775	744
510	776	742
511	776	740
512	778	738
513	779	736
514	780	734
515	781	732
516	781	730
517	783	728
518	783	726
519	784	724
520	785	722
521	786	720
522	787	718
523	789	716
524	789	714
525	790	712
526	791	710
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	797	698
533	799	697
534	799	695
535	800	693
536	801	690
537	802	689
538	803	687
539	804	685
540	805	683
541	805	680
542	806	678
543	807	676
544	808	674
545	809	672
546	810	670
547	810	668
548	811	666
549	812	664
550	813	662
551	814	660
552	815	658
553	816	657
554	816	655
555	817	653
556	818	651
557	819	649
558	820	647
559	821	645
560	822	643
561	823	641
562	824	640
563	825	638
564	826	636
565	827	634
566	827	632
567	828	630
568	830	628
569	831	626
570	831	625
571	832	623
572	833	621
573	834	619
574	835	617
575	836	615
576	837	613
577	838	611
578	839	610
579	840	608
580	841	606
581	841	604
582	842	602
583	843	600
584	844	599
585	845	597
586	846	595
587	847	593
588	848	591
589	848	589
590	849	588
591	850	586
592	851	584
593	852	582
594	853	580
595	854	579
596	855	577
597	856	575
598	857	573
599	858	572
600	859	570
601	860	568
602	861	567
603	862	565
604	863	563
605	863	561
606	864	559
607	865	558
608	866	556
609	867	554
610	868	552
611	869	550
612	870	549
613	870	547
614	871	545
615	872	544
616	873	542
617	874	540
618	875	538
619	876	537
620	877	535
621	877	533
622	878	531
623	879	530
624	880	528
625	881	526
626	882	525
627	883	523
628	884	521
629	885	519
630	886	518
631	886	516
632	887	514
633	888	513
634	889	511
635	890	509
636	891	507
637	892	506
638	892	504
639	893	502
640	894	501
641	895	499
642	896	497
643	897	496
644	898	494
645	899	492
646	900	491
647	901	489
648	902	488
649	903	486
650	904	484
651	904	482
652	905	481
653	906	479
654	907	478
655	908	476
656	909	474
657	910	473
658	911	471
659	912	470
660	913	468
661	914	466
662	914	464
663	915	463
664	916	461
665	917	460
666	918	458
667	919	456
668	920	455
669	920	453
670	922	452
671	922	450
672	923	448
673	924	447
674	925	445
675	926	443
676	927	442
677	928	440
678	928	439
679	929	437
680	930	435
681	931	434
682	932	432
683	933	431
684	933	429
685	934	427
686	935	426
687	936	424
688	937	423
689	938	421
690	939	420
691	940	418
692	941	416
693	942	415
694	943	413
695	943	412
696	944	410
697	945	409
698	946	407
699	947	405
700	948	404
701	948	402
702	949	401
703	950	399
704	951	398
705	953	396
706	953	395
707	954	393
708	955	392
709	956	390
710	957	389
711	958	387
712	959	386
713	960	384
714	961	383
715	962	381
716	963	380
717	964	378
718	965	377
719	966	375
720	967	374
721	969	373
722	970	371
723	971	370
724	971	368
725	972	367
726	973	365
727	974	364
728	975	362
729	976	361
730	977	359
731	978	358
732	979	356
733	979	355
734	980	353
735	981	352
736	982	350
737	984	349
738	985	348
739	986	346
740	987	345
741	988	343
742	989	342
743	990	340
744	991	339
745	992	337
746	992	336
747	993	334
748	994	333
749	995	331
750	996	330
751	997	328
752	998	327
753	999	326
754	1000	324
755	1001	323
756	1001	321
757	1002	320
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1006	312
763	1007	311
764	1008	309
765	1009	308
766	1010	306
767	1011	305
768	1011	303
769	1012	302
770	1014	301
771	1015	299
772	1015	298
773	1016	296
774	1017	295
775	1018	293
776	1019	292
777	1020	291
778	1021	289
779	1021	288
780	1022	286
781	1023	285
782	1024	284
783	1025	282
784	1026	281
785	1027	279
786	1028	278
787	1029	277
788	1030	275
789	1031	274
790	1032	272
791	1033	271
792	1033	269
793	1035	268
794	1035	267
795	1036	265
796	1037	264
