iter	Logloss
0	0.692970272
1	0.6927952465
2	0.692619202
3	0.6924406531
4	0.6922651102
5	0.6920837208
6	0.6919023886
7	0.6917168505
8	0.6915356313
9	0.6913512293
10	0.6911698983
11	0.6909968657
12	0.6908184316
13	0.6906440305
14	0.6904625273
15	0.6902844359
16	0.6901024779
17	0.6899421692
18	0.6897567463
19	0.6895750726
20	0.6893989667
21	0.6892675304
22	0.6890843795
23	0.6889032771
24	0.6887206388
25	0.68854107
26	0.6883750808
27	0.6881948852
28	0.6880133836
29	0.6878318222
30	0.6876518012
31	0.6874705278
32	0.6872992559
33	0.6871213357
34	0.6869384702
35	0.6867615723
36	0.6865835369
37	0.6864053897
38	0.6862261608
39	0.6860490342
40	0.6858708851
41	0.6856945534
42	0.6855156105
43	0.6853420077
44	0.6851664711
45	0.6849920726
46	0.6848175601
47	0.6846386154
48	0.6844595567
49	0.6842876612
50	0.6841162195
51	0.6839436425
52	0.6837691261
53	0.6835930236
54	0.6834166364
55	0.6832412735
56	0.6830690329
57	0.6828934998
58	0.6827174514
59	0.6825383945
60	0.6823684299
61	0.6821945435
62	0.6820191218
63	0.6818498971
64	0.6816739076
65	0.681498431
66	0.6813225564
67	0.681145431
68	0.6809655196
69	0.6807872594
70	0.6806138294
71	0.6804444832
72	0.6802714506
73	0.6800968827
74	0.6799221445
75	0.6797511565
76	0.679578921
77	0.6794046385
78	0.6792313787
79	0.6790572078
80	0.6788938837
81	0.6787176679
82	0.6785450345
83	0.6783680214
84	0.6781917529
85	0.6780608915
86	0.6778822311
87	0.6777119268
88	0.6775487567
89	0.6773768635
90	0.6772483948
91	0.6770801333
92	0.6769509225
93	0.6767805632
94	0.6766075318
95	0.676432567
96	0.6762570347
97	0.6760885472
98	0.6759177858
99	0.6757466292
100	0.6755724045
101	0.6754018719
102	0.6752312264
103	0.6750867372
104	0.6749146123
105	0.6747386842
106	0.6745745702
107	0.6744012541
108	0.6742346431
109	0.6740674054
110	0.6738976677
111	0.6737305435
112	0.6735593311
113	0.6733891414
114	0.6732192353
115	0.6730937239
116	0.6729299926
117	0.6727602003
118	0.6725885313
119	0.6724212914
120	0.6722482593
121	0.6720912142
122	0.6719186406
123	0.6717489025
124	0.6715811546
125	0.6714136362
126	0.6712446389
127	0.6710764345
128	0.6709071553
129	0.6707815205
130	0.6706097396
131	0.6704462516
132	0.6702795831
133	0.6701129159
134	0.6699445431
135	0.6697744684
136	0.6696057526
137	0.6694320404
138	0.6692869804
139	0.6691207681
140	0.6689543262
141	0.6687844211
142	0.6686129255
143	0.6684410874
144	0.6682733412
145	0.6681041747
146	0.6679354643
147	0.6677648205
148	0.6675932683
149	0.6674234199
150	0.6672552735
151	0.6670845161
152	0.6669187598
153	0.6667536258
154	0.6665879824
155	0.6664234186
156	0.6662619803
157	0.6660929293
158	0.66592842
159	0.6657585147
160	0.6655879295
161	0.6654201823
162	0.6652528349
163	0.6650932161
164	0.6649272298
165	0.664763351
166	0.6645996386
