iter	Passed	Remaining
0	4	758
1	9	767
2	13	726
3	16	682
4	18	615
5	21	567
6	24	550
7	27	537
8	30	528
9	32	503
10	34	482
11	35	464
12	38	459
13	41	455
14	44	448
15	47	447
16	50	444
17	53	440
18	55	431
19	57	419
20	59	416
21	62	413
22	65	410
23	68	408
24	71	406
25	73	398
26	76	396
27	78	388
28	81	385
29	82	378
30	85	375
31	87	369
32	90	367
33	92	361
34	94	355
35	96	349
36	98	347
37	101	344
38	103	338
39	105	334
40	107	331
41	110	329
42	112	324
43	114	319
44	117	317
45	119	314
46	122	312
47	125	310
48	128	308
49	130	305
50	133	303
51	136	302
52	138	298
53	140	294
54	143	291
55	146	289
56	148	286
57	150	283
58	153	281
59	155	277
60	158	275
61	160	272
62	163	269
63	166	267
64	168	265
65	170	261
66	173	259
67	175	255
68	177	251
69	179	248
70	181	245
71	184	243
72	186	239
73	189	237
74	190	234
75	193	231
76	196	229
77	198	226
78	201	224
79	203	221
80	206	219
81	208	215
82	211	213
83	213	210
84	214	207
85	217	204
86	220	202
87	223	200
88	225	197
89	228	195
90	231	193
91	233	190
92	236	188
93	238	185
94	241	182
95	242	179
96	244	176
97	247	174
98	250	171
99	252	169
100	255	167
101	258	164
102	261	162
103	263	159
104	266	157
105	268	154
106	271	152
107	273	149
108	275	146
109	278	144
110	281	141
111	283	139
112	285	136
113	288	134
114	290	131
115	293	128
116	296	126
117	298	124
118	301	121
119	303	118
120	306	116
121	309	114
122	311	111
123	313	108
124	315	105
125	317	103
126	319	100
127	322	98
128	324	95
129	327	93
130	329	90
131	332	88
132	335	85
133	337	83
134	340	80
135	342	78
136	345	75
137	348	73
138	350	70
139	353	68
140	355	65
141	357	63
142	360	60
143	362	57
144	365	55
145	367	52
146	369	50
147	371	47
148	374	45
149	376	42
150	378	40
151	381	37
152	384	35
153	387	32
154	390	30
155	393	27
156	396	25
157	399	22
158	403	20
159	406	17
160	408	15
161	410	12
162	413	10
163	416	7
164	418	5
165	421	2
166	424	0
